,player,x_start,y_start,recipient_name,x_end,y_end,pass_type,pass_outcome
492,Giovanni Di Lorenzo,76.1,68.6,Leonardo Bonucci,72.1,41.7,,
493,Leonardo Bonucci,76.9,41.4,Lorenzo Insigne,88.9,41.4,,
494,Lorenzo Insigne,85.0,48.9,Giovanni Di Lorenzo,80.7,66.6,,
495,Giovanni Di Lorenzo,80.7,66.6,Jorge Luiz Frello Filho,77.8,58.3,,
496,Jorge Luiz Frello Filho,77.8,58.3,Bryan Cristante,90.3,61.7,,
497,Bryan Cristante,90.3,61.7,Jorge Luiz Frello Filho,77.5,60.9,,
498,Jorge Luiz Frello Filho,77.5,60.9,Leonardo Bonucci,72.6,39.1,,
499,Leonardo Bonucci,72.6,39.1,Marco Verratti,77.8,29.8,,
500,Marco Verratti,86.4,27.2,Federico Chiesa,95.5,10.9,,
501,Federico Chiesa,98.1,18.8,Lorenzo Insigne,113.2,41.4,,Incomplete
502,Domenico Berardi,120.0,80.0,Bryan Cristante,112.9,50.6,Corner,
503,Bryan Cristante,113.1,50.2,Marco Verratti,114.3,35.8,,
504,Giorgio Chiellini,31.2,38.6,Gianluigi Donnarumma,12.3,45.5,Recovery,
505,Gianluigi Donnarumma,12.9,46.6,Leonardo Bonucci,18.0,46.6,,
506,Leonardo Bonucci,22.1,49.2,Lorenzo Insigne,88.0,10.9,,
507,Lorenzo Insigne,87.0,12.5,Emerson Palmieri dos Santos,83.8,22.3,,
508,Emerson Palmieri dos Santos,101.0,27.7,Lorenzo Insigne,99.0,18.0,,
509,Lorenzo Insigne,99.3,21.7,Federico Chiesa,92.1,44.9,,
510,Federico Chiesa,113.5,63.8,Domenico Berardi,111.5,0.8,,Out
511,Giorgio Chiellini,57.5,10.6,Emerson Palmieri dos Santos,64.1,3.7,Recovery,
512,Emerson Palmieri dos Santos,64.7,3.7,Marco Verratti,64.4,8.6,,
513,Marco Verratti,64.1,10.3,Leonardo Bonucci,48.3,23.7,,
514,Leonardo Bonucci,48.6,22.9,Giorgio Chiellini,47.1,8.6,,
515,Giorgio Chiellini,47.1,8.6,Gianluigi Donnarumma,16.3,26.6,,
516,Gianluigi Donnarumma,18.0,32.6,Giovanni Di Lorenzo,27.4,60.3,,
517,Giovanni Di Lorenzo,26.1,62.6,Bryan Cristante,40.4,76.9,,
518,Bryan Cristante,36.0,74.9,Leonardo Bonucci,19.5,49.2,,
519,Leonardo Bonucci,20.9,45.8,Giorgio Chiellini,26.1,14.2,,
520,Giorgio Chiellini,26.1,14.2,Marco Verratti,38.9,3.7,,
521,Marco Verratti,38.1,3.4,Lorenzo Insigne,56.3,3.4,,
522,Lorenzo Insigne,56.1,2.8,Jorge Luiz Frello Filho,49.7,19.1,,
523,Jorge Luiz Frello Filho,56.9,16.5,Emerson Palmieri dos Santos,72.9,5.4,,
524,Emerson Palmieri dos Santos,78.4,4.6,Marco Verratti,88.9,8.0,,
525,Marco Verratti,88.9,8.0,Domenico Berardi,92.9,10.0,,Incomplete
526,Emerson Palmieri dos Santos,87.6,0.1,Giorgio Chiellini,73.5,3.4,Throw-in,
527,Giorgio Chiellini,68.0,6.6,Leonardo Bonucci,47.7,32.1,,
