,period,player,x_start,y_start,recipient_name,x_end,y_end,pass_type,pass_outcome
0,1,Ciro Immobile,60.0,40.0,Marco Verratti,49.5,33.2,Kick Off,
1,1,Marco Verratti,48.0,35.7,Giovanni Di Lorenzo,39.0,70.7,,
2,1,Giovanni Di Lorenzo,39.2,68.4,Leonardo Bonucci,24.9,46.7,,
3,1,Leonardo Bonucci,25.3,46.4,Giorgio Chiellini,24.4,17.7,,
4,1,Giorgio Chiellini,23.9,18.6,Leonardo Bonucci,16.4,44.1,,
5,1,Leonardo Bonucci,16.2,44.3,Gianluigi Donnarumma,6.8,20.7,,
6,1,Gianluigi Donnarumma,6.4,20.4,Ciro Immobile,59.4,12.4,,Incomplete
7,1,Lorenzo Insigne,120.0,80.0,Leonardo Bonucci,110.4,41.3,Corner,Incomplete
8,1,Ciro Immobile,60.0,40.0,Jorge Luiz Frello Filho,43.1,45.2,Kick Off,
9,1,Jorge Luiz Frello Filho,43.0,49.9,Giovanni Di Lorenzo,52.9,75.2,,
10,1,Giovanni Di Lorenzo,62.5,77.1,Federico Chiesa,83.2,69.1,,
11,1,Federico Chiesa,83.1,69.0,Ciro Immobile,81.5,59.3,,
12,1,Ciro Immobile,80.0,59.1,Lorenzo Insigne,84.1,28.1,,Incomplete
13,1,Giorgio Chiellini,33.1,29.2,Emerson Palmieri dos Santos,41.3,15.6,Recovery,
14,1,Emerson Palmieri dos Santos,38.8,15.1,Marco Verratti,44.7,18.6,,
15,1,Marco Verratti,44.7,18.6,Jorge Luiz Frello Filho,37.5,28.9,,
16,1,Jorge Luiz Frello Filho,35.2,31.1,Leonardo Bonucci,26.9,43.4,,
17,1,Leonardo Bonucci,35.8,46.4,Ciro Immobile,65.4,44.3,,
18,1,Ciro Immobile,65.4,44.3,Jorge Luiz Frello Filho,56.8,43.4,,
19,1,Jorge Luiz Frello Filho,72.0,47.0,Nicolò Barella,80.2,63.0,,
20,1,Nicolò Barella,83.5,64.1,Federico Chiesa,101.3,56.4,,Incomplete
21,1,Giovanni Di Lorenzo,21.4,73.7,Gianluigi Donnarumma,3.5,45.6,Free Kick,
22,1,Gianluigi Donnarumma,7.9,40.6,Marco Verratti,17.6,41.4,,
23,1,Marco Verratti,29.6,48.1,Giovanni Di Lorenzo,40.4,72.9,,
24,1,Giovanni Di Lorenzo,56.3,73.2,Ciro Immobile,66.2,63.7,,
25,1,Ciro Immobile,66.2,63.7,Marco Verratti,50.0,73.2,,
26,1,Marco Verratti,48.9,69.8,Leonardo Bonucci,36.0,44.1,,
27,1,Leonardo Bonucci,43.8,44.7,Marco Verratti,48.9,53.4,,
28,1,Marco Verratti,48.3,52.2,Jorge Luiz Frello Filho,54.3,40.0,,
29,1,Marco Verratti,50.9,41.9,Emerson Palmieri dos Santos,55.9,11.5,Free Kick,
30,1,Emerson Palmieri dos Santos,63.7,14.1,Ciro Immobile,79.4,21.6,,
31,1,Ciro Immobile,79.4,21.6,Lorenzo Insigne,80.8,2.0,,
32,1,Lorenzo Insigne,80.8,3.7,Marco Verratti,75.3,8.1,,
33,1,Marco Verratti,79.1,9.4,Lorenzo Insigne,97.7,0.3,,
34,1,Lorenzo Insigne,103.1,5.0,Marco Verratti,92.7,11.2,,
35,1,Marco Verratti,92.6,13.9,Nicolò Barella,91.6,38.9,,
36,1,Nicolò Barella,90.3,49.2,Federico Chiesa,95.6,68.2,,
37,1,Federico Chiesa,90.5,55.3,Ciro Immobile,98.4,48.1,,Incomplete
38,1,Leonardo Bonucci,67.1,36.5,Ciro Immobile,96.9,32.5,Recovery,Incomplete
39,1,Jorge Luiz Frello Filho,68.4,39.6,Nicolò Barella,79.8,51.3,Interception,Incomplete
40,1,Emerson Palmieri dos Santos,69.4,0.1,Giorgio Chiellini,53.7,4.6,Throw-in,
